search_keyword,label,title,video_id,view_count,like_count,comment_count,published_at
나락,1,딘딘 DINDIN 이러면 안 될 거 아는데 너 앞에만 서면 나락 Feat 10CM 가사 Lyrics,nijzNIR3rOc,199192,1174,54,2024-11-18T09:15:06Z
요약,0,인생 25초 요약,AIInr4Tk5C8,4613647,150210,2148,2024-03-16T09:10:43Z
신기능,0,2026 직접 테스트해봤어요,9t4Awm_-cJ8,37069,1181,85,2025-11-13T07:17:08Z
대응,0,기후위기 대응 공론화 시민의 선택 세션 2 감축 목표,AECx93QzRjI,1864,40,12,2026-03-29T01:42:03Z
방법,0,정지소에게 방법당하는 성동일과 굿으로 죽음을 막는 조민수 끈질긴 빌런들 방법,i8DzER0jMfk,27514,0,20,2020-03-26T11:00:30Z
결국,1,송포원 결국 w 찬양사역자 유은성 CBSTV 올포원과 함께하는 찬양시간 올포원 612회,KTo_Uw0pBwU,3208,0,2,2025-03-14T08:00:25Z
비판,1,뉴이재명 갈라치기 비판에 열변 토한 이동형 패거리 정치 shorts 오마이tv 박정호의핫스팟 이동형,D-m_iIRJs_k,21973,824,101,2026-03-27T02:54:56Z
결국,1,Eng sub GD가 언급한 블랙핑크 로제의 결국 GD mentioned Blackpink Rose in 2012,lOrT2dGe8qM,809659,11048,0,2017-06-17T14:13:26Z
강화,0,강화도 맛집 TOP5,5pFSiFGa1pE,53184,326,16,2023-05-18T03:00:03Z
단독,1,단독 국세청 화천대유 체납에 330억 원 압류 채널A 뉴스A,ti6Oju0zpTA,533,11,2,2026-03-30T11:17:40Z
왜곡,1,법왜곡죄를 아는 사람이 정작 본인이 갈 병원이 없어지는 건 왜 몰라,OaHGPHSMIyU,44686,3358,431,2026-03-26T08:15:00Z
정보,0,연하가 좋아요 그들에게 님은 이모에요 shorts 솔로정보회사 둠칫,elKLPj7wfOg,4251109,18558,4793,2025-07-11T09:01:08Z
