search_keyword,label,title,video_id,view_count,like_count,comment_count,published_at
충격,1,&quot;번개가 위로간다?&quot; 충격 밤하늘 뒤덮은 붉은 섬광 / KNN,mlsPyyF2f88,97377,343,30,2026-03-21T12:31:06Z
충격,1,"충격 러 240억 최신 헬기, 우크라 드론 한방에 &#39;활활&#39;",benafK5l_PA,9286,86,42,2026-03-25T07:05:07Z
충격,1,"[머니코드]구글 터보퀀트로 메모리 충격! 뭔데...삼전닉스 영향은?/SK하이닉스, ADR상장 가치 어디까지 봐야하나",elkfZMQ1xH0,6742,295,80,2026-03-26T02:33:24Z
충격,1,"수억 원짜리 &#39;철근 아파트&#39;의 충격 실체, 이게 사람이 살 집인가요 #신축아파트 #부실공",NYTj8ZsSDNQ,29651,592,160,2026-03-25T09:00:27Z
충격,1,그곳은 &#39;카오스&#39;였다..JTBC 단독 입수 영상에 국민 &#39;충격&#39; #뉴스다 / JTBC News,VH_19tdcT0M,240845,2965,3352,2025-10-29T00:48:55Z
충격,1,&quot;눈부터 다리까지..&quot; 차에서 발견된 여성 &#39;충격&#39; #shorts,2kSGr-oNwz0,1841477,11308,588,2026-01-17T01:00:03Z
충격,1,금고 안 열려고 벽에 머리를 부딪힌다고? #충격 #세금 #적발,Myt66ftEgdA,59397,1092,68,2026-03-23T00:00:21Z
충격,1,충격입니다  성리 무명전설 1위 이후 무엇이 달라졌을까요,LTyHVI3AwJQ,25719,2069,58,2026-03-24T22:00:15Z
충격,1,&#39;AI 영상 아님 주의&#39; 약속한 듯 120분…충격의 헤쳐모여 #뉴스다 / JTBC News,TlLnNdOuTpk,335286,2746,1780,2026-02-23T01:30:32Z
충격,1,"“할망구 죽었다, 이제 축제야” 장례식장에서 터진 충격 통화#장례식장 #가족갈등 #막말통화 #남편분노 #부부갈등 #인간관계 #막말 #충격상황 #사이다 #현실드라마",bpACq_vE5uk,263957,3937,23,2026-03-23T09:45:00Z
충격,1,졸업 선물인 줄 알았던 꽃다발 그 속에 &#39;수상한 물건?!&#39; 충격 / KNN,e3ZzZwteJj0,84529,423,43,2026-03-24T05:01:20Z
충격,1,&quot;투표장 들어가면 또 몰라&quot;..그래도 어떻게 대구가 &#39;충격&#39; #뉴스다 / JTBC News,dl4ujG57Lbo,7084,255,216,2026-03-26T03:55:21Z
충격,1,먹방 찍다 이틀 만에 사망 &#39;충격&#39; 마을 패닉 빠뜨린 &#39;악마의 게&#39;?  / KNN,Fs1pmptCEgU,884650,4294,932,2026-03-22T10:00:28Z
충격,1,강아지 꼬리의 충격 진실… “기뻐서 흔드는 게 아니었다” [S052],YbgqrDEtk9c,13586,773,26,2026-03-25T10:15:02Z
충격,1,병실 옮기자 드러난 사실…CCTV 본 가족들 &#39;충격&#39;,NXw-eI3KCa8,12628745,166241,31790,2024-01-17T00:35:54Z
충격,1,어머니 양팔 묶고 얼굴에 수건을.. 요양병원 보호자 &#39;충격&#39; [shorts],dqxyI0rRAeE,53924,536,58,2026-01-13T05:00:59Z
충격,1,[자막뉴스] &quot;아직도 팔고 있어요&quot; 충격…생돈 80만원 날리고 따지자 / JTBC News,BQHqMfQ8O8k,302748,2399,1260,2026-03-08T00:00:11Z
충격,1,&quot;누가 만들었나 대참사 날까 아찔&quot; 한 대학 기숙사 &#39;9층 침대&#39; 충격 / KNN,JFhYuwO9V_w,73735,496,499,2025-11-25T09:00:30Z
충격,1,[단독] &quot;가정 파괴하고!&quot; 유족들 &#39;분노&#39;…충격의 &#39;김범석 지시&#39; 입수 / SBS 8뉴스,iBsBeH0fekQ,390010,5748,2611,2025-12-17T11:17:16Z
충격,1,전 세계를 충격에 빠뜨린 한국고딩의 역대급 무대,A-epIiYmkX0,1794412,17816,117,2026-03-22T11:05:00Z
충격,1,"국보법 폐지 물어본 박수영, 장관 후보자 박홍근의 충격 답변",iiq4zebAHmQ,26016,1189,74,2026-03-24T05:30:27Z
충격,1,비처럼 쏟아진 불씨...홍콩 전체가 충격에 빠졌다 [Y녹취록] / YTN,Ffa1leUcFvU,14542,98,27,2025-11-27T05:13:41Z
충격,1,（충격）이재명을 악마화를 위해 ＳＢＳ한 추악한 설계,pKRlZOU4PLA,808823,21191,1165,2026-03-23T03:49:06Z
충격,1,한국 콜라겐 마스크 처음 쓰고 충격받은 외국인,ro1l3u734v4,17687634,90306,913,2025-11-14T09:15:11Z
충격,1,충격..!! 일회용 주사 바늘 8개월 재사용한 병원,7dGI8_zNW0c,180491,20480,906,2026-03-22T23:14:01Z
충격,1,손흥민을 “패배자”라고? 미국 언론 충격 평가,F9cKw9cgESM,21819,521,21,2026-03-23T07:55:00Z
충격,1,터질 듯 빵빵해진 복부 배에 가득 찬 &#39;XX&#39; 때문? 충격 / KNN,6vw-ashXLaI,235968,954,99,2026-03-20T11:15:00Z
충격,1,💥💖(충격) 순종적이던 아내가 의사 가운을 입자 눈빛이 변했다. 병원 복도에서 다른 남자와 키스하기 1초 전💋#단숨에다보기 #재벌 #복수 #불륜 #참교육 #후회남 거지 남편은 재벌,_eUpNtdscnc,45127,711,0,2026-03-22T13:44:08Z
충격,1,자동차 체급별 충격 차이,uuBsUXLtEP8,9425693,45113,3487,2025-03-13T11:01:21Z
충격,1,10년 유학후 돌아온 딸 계모와의 충격 첫만남 #계모 #유학 #충격,1isBNQwUcqM,92238,1991,6,2025-10-22T06:15:00Z
결국,1,G-DRAGON - 결국 (Feat. 로제 of BLACKPINK)ㅣ Lyrics / 가사,ady6Fzbegak,642305,4448,116,2023-02-06T17:05:38Z
결국,1,지드래곤X로제 콜라보 | 결국 - G-DRAGON (feat. ROSÉ of BLACKPINK) | 가사/해석/ENG,m-hTIhnI8Qc,904407,11768,304,2023-02-11T05:00:18Z
결국,1,[1 HOUR] G-DRAGON FT. ROSÉ - Whithout You (Color Coded Lyrics Eng/Rom/Han/가사),Xuu1o6cnIz8,92166,710,22,2022-01-30T17:02:42Z
결국,1,결국 (Without You) ft. ? Of YG New Girl Group,hmJCg_fet4w,16616502,149714,2602,2015-05-30T13:20:24Z
결국,1,G-DRAGON (feat. ROSÉ of BLACKPINK) - WITHOUT YOU (결국) MV,9bKSjRJhXwo,35370346,489661,9060,2017-09-15T02:34:40Z
결국,1,G-DRAGON - 결국 (Feat. 로제 of BLACKPINK) [가사/Lyrics],ZFO0kvHITdk,17543,227,15,2025-07-17T09:01:00Z
결국,1,결국(Sung by 유은성),mD_YixUmW7E,37332,647,47,2025-01-10T08:00:42Z
결국,1,결국 + 행복 l 우미쉘ㅣ더 라이브 l 세상 살리는 사람 l 더 콘서트,W86yriZms9c,12281,136,8,2025-12-04T12:27:09Z
결국,1,[블랙핑크/로제] 지드래곤-결국 로제 파트😭,K16Mql0k7ZI,2461299,61376,443,2022-04-03T03:33:38Z
결국,1,G-DRAGON - 결국 (Feat. 로제 of BLACKPINK) 1시간🩷,kuj_6ipE2II,1496,8,1,2025-11-09T03:54:41Z
결국,1,"[삼성전자 주가전망] 💥방금, 발표했습니다. 결국 나올게 나왔습니다. 필수시청 #삼성전자 #삼성전자주가 #삼성전자분석",KPtZeIojoYY,10637,534,0,2026-03-25T20:30:04Z
결국,1,[Eng sub]GD가 언급한 블랙핑크 로제의 결국 ( GD mentioned Blackpink Rose in 2012),lOrT2dGe8qM,809639,11048,0,2017-06-17T14:13:26Z
결국,1,[송포원] ♬ 결국 (w. 찬양사역자 유은성)_CBSTV 올포원과 함께하는 찬양시간 | 올포원 612회,KTo_Uw0pBwU,3201,0,2,2025-03-14T08:00:25Z
결국,1,[TJ노래방] 결국 - G-DRAGON(Feat.YG New Girl Group) / TJ Karaoke,NYwBR41c3Qo,111231,1056,21,2015-05-21T08:38:10Z
결국,1,지드래곤 (G-DRAGON) (feat. 로제 of BLACKPINK) 결국 (With out you) MV,zaCT1yXNIMo,307798,3700,87,2020-07-14T19:12:09Z
결국,1,G-DRAGON - 결국 (feat. ROSÉ) (가사),VC3d4y146LE,1695,15,0,2025-01-01T13:36:54Z
결국,1,지디가 로제 신곡을 응원하자 발생한 사태 #지드래곤,nRSzyiZsO8s,4405844,79655,203,2024-12-06T17:32:18Z
결국,1,결국 - 유은성,HaOCy84zR2U,25819,429,31,2025-01-10T03:00:14Z
결국,1,G DRAGON - WITHOUT YOU WORLD TOUR OOAK,3wEkzUbAPcg,3050892,57866,1769,2014-05-12T17:31:51Z
결국,1,Without You (ft Rosé)  eng sub - G-DRAGON live 2013 OOAK in Japan,o5skhNkLdRQ,22696,387,13,2021-09-30T16:12:08Z
결국,1,🎧 결국 (Feat. 로제 of BLACKPINK) - G-DRAGON,kfEUOiI_png,26560,735,20,2025-10-23T14:56:39Z
결국,1,결국 (Without You) (Feat. 이하이 (LEE HI)),HwbSH3Nxs6o,416485,2500,57,2023-06-02T11:05:37Z
결국,1,종량제 봉투 &#39;싹쓸이&#39; 결국 #shorts / YTN,RUi6NK3Sqfg,15283,80,24,2026-03-26T02:53:05Z
결국,1,"[만나교회] 결국(유은성, 윤정수, 유스콰이어) | 25-1차 변화산 오프닝",GZ_frVn1-JY,19618,207,0,2025-02-24T11:19:32Z
결국,1,[자막뉴스] &#39;결국 하는구나&#39; 국민 깜짝…차량 5부제 대상 차량 보니 / JTBC News,hodk2X_I1g4,326716,2192,2312,2026-03-25T02:41:53Z
결국,1,[단독] &#39;작은 불&#39; 보면서도 &quot;일해야지&quot;…문제 제기한 &#39;안전관리자&#39; 결국 / SBS 8뉴스,SKXCyQg_wgc,26355,256,227,2026-03-23T12:28:22Z
결국,1,로제 결국,JszYaXY9voc,374591,10992,291,2017-10-12T17:20:29Z
